"rowname","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-2.56938107764821,0.748077644717284,-4.09059825,-1.14443775,1.00006429458271,2649.45281995859,3217.04272307036
"Dev_1",-0.905942948098393,0.524973421387651,-1.9688605,0.0956340899999997,1.00187696637522,2305.70092584177,2571.96804812267
"LHSCategoryDetrivore",1.22180711312018,1.02273066428919,-0.80822545,3.224362,1.00121744887169,2870.43124731,3503.13634219862
"LHSCategoryHerbivore",2.25403173530357,0.77824335874789,0.80104515,3.78180725,1.00036477465897,2792.73974641259,3361.45768217294
"LHSCategoryOmnivore",1.30567161945875,0.853212226107312,-0.4433163,2.95452675,1.0004458384216,2700.40031136241,2985.48992677976
"LarvalHabitatCategoryBelowGround",1.27362267391429,0.852319904812134,-0.45969425,2.896475,1.00076245941546,2618.27348491033,3430.40676395922
"LarvalHabitatCategoryFreshwater",3.56308091081786,1.10756413457083,1.36748225,5.72205925,1.00010148805323,2469.79770088403,3085.01409896341
"LarvalHabitatCategoryHostOrganisms",0.720534264802857,0.742885587954712,-0.74601795,2.1852715,1.00003618276271,2363.66115611611,3204.81280753143
"BodySize",-0.661440429096607,0.328524214890659,-1.304536,-0.0093884650000001,0.999905773713727,3087.13709791558,3811.33296554757
"temp_niche",-0.156762144941189,0.304213732250532,-0.764502225,0.43674555,1.00068923237517,3141.76920190297,3245.49261667627
"Dev_1:LHSCategoryDetrivore",-0.707462106361786,0.713659545251359,-2.11199725,0.6611765,1.00050529657194,3622.7483655322,3878.306839529
"Dev_1:LHSCategoryHerbivore",0.0531441726899643,0.523226581233753,-0.948664575,1.094141,1.00170355891224,2813.18659684143,3306.82163067369
"Dev_1:LHSCategoryOmnivore",-0.376845016921964,0.559518729064339,-1.444365,0.771174225,1.00125368549471,3101.85101548556,3432.66886160514
"Dev_1:LarvalHabitatCategoryBelowGround",0.138507811643786,0.534773042801695,-0.909024625,1.22495325,1.0003004790386,3578.44555388979,3740.4580865503
"Dev_1:LarvalHabitatCategoryFreshwater",0.468183086208214,0.751489445192747,-0.9514268,2.01258025,1.00150449531946,2617.70807580528,3146.79736964823
"Dev_1:LarvalHabitatCategoryHostOrganisms",0.623708431317143,0.494377866342966,-0.30244175,1.6266825,1.00006610080176,3273.99551196291,3799.54195496727
"Dev_1:BodySize",-0.0830140486088071,0.234848831198899,-0.5775553,0.349419225,1.00120416751204,3293.04957294362,3570.44287784015
"Dev_1:temp_niche",-0.0999790118141071,0.195575257316977,-0.50443025,0.2744704,1.00058290217291,4401.82050733897,3989.98311176973
"sd(Intercept)",1.53326958482143,0.244324734469055,1.1185275,2.09763725,1.00142389297521,2331.00016109761,3493.01494824076
"sd(Dev_1)",0.789978715857143,0.218540173743928,0.397823575,1.25401925,1.00232167108517,1738.00347609356,2280.73964884756
