"rowname","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-2.11623347651071,0.932525495903827,-3.9958795,-0.2755276,1.00159144346906,4346.61072739228,3200.00566752503
"Dev_1",-0.498972159169629,0.345521311129348,-1.2012675,0.154037225,1.00034724598944,3671.32492230985,3725.69501948706
"LHSCategoryDetrivore",1.57560586783036,1.35208346073996,-1.01278625,4.3896115,1.0013178380313,3566.28834535637,2852.39172643959
"LHSCategoryHerbivore",2.40479188881429,0.932520142967914,0.5889206,4.2609475,1.00113891085125,3915.37102971864,3153.16079029067
"LHSCategoryOmnivore",1.42969370551571,1.09037271823546,-0.776863825,3.5846865,1.00113811205264,4513.34088574996,4061.1697845468
"LarvalHabitatCategoryBelowGround",0.7737819855125,1.11611286600721,-1.55244675,2.94982975,1.00092755089081,3672.39260134501,3352.71273136499
"LarvalHabitatCategoryFreshwater",2.80154705297911,1.22186013825972,0.274165300000001,5.198545,1.0006741844637,3752.16557699995,3546.76329548833
"LarvalHabitatCategoryHostOrganisms",-0.0260323386383929,1.07329877929198,-2.29580025,1.95407325,1.00217871460731,2772.26402271774,2818.97206468918
"BodySize",-0.516045706396607,0.385236546058857,-1.2401455,0.267565524999999,1.00143079517209,3213.15514241579,3543.87515760153
"temp_niche",-0.136442423767321,0.318208003460998,-0.762283725,0.479614125,1.00023842873206,4255.27796747478,4028.07006533689
"Dev_1:LHSCategoryDetrivore",-0.331759896723214,0.494395396456916,-1.297677,0.635843274999999,1.0000822329358,5079.17305262568,4034.87403322274
"Dev_1:LHSCategoryHerbivore",-0.194008301558768,0.335429590877716,-0.824056775,0.468634375,0.999822081033182,4252.80531246339,3747.57552556375
"Dev_1:LHSCategoryOmnivore",-0.308472568951589,0.351795300940931,-1.0056125,0.377968975,0.999851398018631,6076.77100880453,4611.68730239663
"Dev_1:LarvalHabitatCategoryBelowGround",0.233319448293571,0.28610952021333,-0.3199685,0.814236225,1.00140893829633,8737.42180390323,4065.66561651131
"Dev_1:LarvalHabitatCategoryFreshwater",-0.00231599759468393,0.485115193060563,-0.94011265,0.963568324999998,1.00051393506673,4167.42119364021,3869.15485041878
"Dev_1:LarvalHabitatCategoryHostOrganisms",0.208814047868929,0.327950130678312,-0.42949765,0.863456749999999,1.00068789219019,5657.8384805777,3820.32639430038
"Dev_1:BodySize",0.0598992476176964,0.145442759861243,-0.239723325,0.333938025,1.00221589495868,5738.81032004511,4234.1375767354
"Dev_1:temp_niche",0.00881960766681429,0.117319644715417,-0.2149781,0.2452276,1.00025219783792,9012.0903496343,4311.56238184199
"sd(Intercept)",0.0607779488978929,0.0383117155172089,0.002819912,0.136407125,1.01014563817059,428.788591629514,1715.4907326352
"sd(Intercept)",1.10418575705179,0.491849134080195,0.0907617525000001,1.91583875,1.00855365767006,494.63762561604,1297.40561008614
